0.215,0.645,0.14,-0.1779
0,1,0,0
0.18,0.676,0.144,-0.1621
0,1,0,0
0.128,0.542,0.33,0.4554
0,1,0,0
0,1,0,0
0.455,0.545,0,-0.3612
0,1,0,0
0,1,0,0
0,1,0,0
0,0.685,0.315,0.3182
0,0.607,0.393,0.3804
0.154,0.846,0,-0.25
0.188,0.688,0.123,-0.4215
0,0.723,0.277,0.3182
0,1,0,0
0,1,0,0
0,1,0,0
0.149,0.851,0,-0.0572
0,1,0,0
0.099,0.852,0.049,-0.2732
0.273,0.727,0,-0.5423
0,0.492,0.508,0.4767
0,0.874,0.126,0.3818
0,0.722,0.278,0.6124
0,0.45,0.55,0.0572
0,0.753,0.247,0.3875
0,1,0,0
0,1,0,0
0.532,0.468,0,-0.8854
0.29,0.71,0,-0.6492
0.337,0.533,0.13,-0.5423
0,0.465,0.535,0.3182
0,1,0,0
0,1,0,0
0,1,0,0
0,0.807,0.193,0.3875
0,1,0,0
0,1,0,0
0.37,0.63,0,-0.6472
0.162,0.632,0.207,0.2144
0,0.723,0.277,0.3182
0,1,0,0
0,1,0,0
0,0.777,0.223,0.3182
0,1,0,0
0,1,0,0
0,0.887,0.113,0.0762
0.318,0.682,0,-0.1027
0,1,0,0
0.282,0.581,0.137,-0.2488
0,0.607,0.393,0.3804
0,1,0,0
0.083,0.718,0.199,0.2732
0,1,0,0
0,1,0,0
0.06,0.94,0,-0.2263
0,0.602,0.398,0.4526
0,0.843,0.157,0.4404
0,0.847,0.153,0.4404
0,1,0,0
0,1,0,0
0,1,0,0
0.45,0.55,0,-0.8689
0,1,0,0
0.238,0.556,0.206,-0.1045
0.49,0.412,0.098,-0.765
0,1,0,0
0.6,0.4,0,-0.7184
0.277,0.723,0,-0.5574
0,0.876,0.124,0.3089
0,0.755,0.245,0.3804
0.298,0.702,0,-0.6249
0.101,0.686,0.213,0.4201
0,0.73,0.27,0.3804
0.126,0.692,0.182,0.2263
0.216,0.784,0,-0.296
0,0.61,0.39,0.4939
0,0.844,0.156,0.1695
0,1,0,0
0,0.815,0.185,0.5267
0,0.902,0.098,0.0772
0.31,0.69,0,-0.4653
0.271,0.729,0,-0.6369
0,0.73,0.27,0.3804
0,1,0,0
0.167,0.833,0,-0.4215
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0.286,0.714,0,-0.34
0.179,0.447,0.374,0.2911
0,0.776,0.224,0.3804
0,1,0,0
0.14,0.67,0.19,-0.0258
0,1,0,0
0.319,0.681,0,-0.4976
0.088,0.704,0.208,0.4075
0.256,0.625,0.119,-0.34
0.138,0.718,0.144,-0.2263
0,0.705,0.295,0.5574
0.097,0.79,0.114,0.101
0,1,0,0
0,1,0,0
0,1,0,0
0,0.872,0.128,0.3919
0,0.808,0.192,0.4754
0,0.685,0.315,0.3182
0.225,0.775,0,-0.4939
0.158,0.774,0.068,-0.4215
0,0.685,0.315,0.3182
0,0.753,0.247,0.3182
0.325,0.675,0,-0.3412
0,1,0,0
0.117,0.745,0.138,0.101
0,1,0,0
0,1,0,0
0.137,0.863,0,-0.4019
0,0.607,0.393,0.3804
0,0.863,0.137,0.1877
0.161,0.484,0.355,0.34
0,0.761,0.239,0.5256
0.215,0.577,0.208,-0.0643
0,1,0,0
0.338,0.662,0,-0.6896
0.19,0.81,0,-0.6597
0.169,0.608,0.223,0.2023
0,0.935,0.065,0.2732
0.156,0.844,0,-0.34
0.305,0.695,0,-0.5709
0,1,0,0
0,0.74,0.26,0.2755
0.12,0.663,0.217,0.3818
0,1,0,0
0,0.897,0.103,0.2411
0,0.579,0.421,0.6249
0,1,0,0
0.271,0.571,0.157,-0.3818
0,0.526,0.474,0.5439
0.298,0.702,0,-0.6251
0,1,0,0
0.444,0.556,0,-0.6113
0,1,0,0
0,0,0,0
0,0,0,0
0.285,0.715,0,-0.1513
0.608,0.392,0,-0.4767
0,0.357,0.643,0.2023
0.688,0.312,0,-0.296
0.158,0.842,0,-0.3071
0.261,0.522,0.216,-0.1531
0,1,0,0
0.169,0.482,0.349,0.3612
0,0.847,0.153,0.4404
0,1,0,0
0,0.357,0.643,0.2023
1,0,0,-0.4767
0.286,0.714,0,-0.4939
0.149,0.851,0,-0.1027
0.189,0.717,0.094,-0.3612
0,1,0,0
0.365,0.635,0,-0.8023
1,0,0,-0.5267
0,0,1,0.3182
0,0.575,0.425,0.7684
0.405,0.315,0.28,-0.2926
0,0.848,0.152,0.3612
0.487,0.513,0,-0.6908
0,1,0,0
0.435,0.361,0.205,-0.5893
0.103,0.744,0.153,0.296
0,0,1,0.5719
0.114,0.476,0.41,0.6249
1,0,0,-0.5423
0.14,0.86,0,-0.0772
0.377,0.483,0.14,-0.6584
0.737,0.263,0,-0.4215
0.164,0.621,0.215,-0.0258
0.24,0.612,0.148,-0.2023
0.329,0.671,0,-0.5994
0,0.895,0.105,0.2755
0,0.303,0.697,0.3182
0.148,0.714,0.138,-0.0516
0,0.776,0.224,0.3804
0.151,0.739,0.109,-0.0516
0,0.593,0.407,0.6697
0.158,0.696,0.147,-0.0772
0,1,0,0
0.092,0.837,0.071,-0.1891
0.266,0.473,0.26,-0.0129
0,0.49,0.51,0.6369
0.197,0.63,0.173,-0.0772
0,0.742,0.258,0.4168
0,1,0,0
0.41,0.241,0.349,-0.128
0.714,0.286,0,-0.3612
0.362,0.638,0,-0.5267
0,1,0,0
0.495,0.505,0,-0.2411
0,1,0,0
0.313,0.569,0.118,-0.5255
0,0.753,0.247,0.3875
0,0.465,0.535,0.3182
0.523,0.312,0.164,-0.6808
0,0.723,0.277,0.3182
0.591,0.409,0,-0.4391
0.453,0.547,0,-0.7003
0.314,0.686,0,-0.6705
0,0.753,0.247,0.3182
0,0.854,0.146,0.4404
0,1,0,0
0,0.548,0.452,0.765
0.15,0.6,0.25,0.5647
0.44,0.267,0.293,-0.0258
0,1,0,0
0.333,0.667,0,-0.3612
0,0.707,0.293,0.4404
0.265,0.735,0,-0.3818
0.064,0.792,0.144,0.3818
0.216,0.597,0.187,-0.1027
0,0.233,0.767,0.5106
0,1,0,0
0,1,0,0
0.213,0.319,0.468,0.34
0.833,0.167,0,-0.6124
0,1,0,0
0.15,0.85,0,-0.3182
0,1,0,0
0.183,0.534,0.282,0.3182
0,0.863,0.137,0.2263
0.367,0.633,0,-0.4404
0,1,0,0
0.262,0.467,0.271,0.0258
0.459,0.541,0,-0.5256
0,1,0,0
1,0,0,-0.4404
0,0.674,0.326,0.4404
0.744,0.256,0,-0.4404
1,0,0,-0.4767
0,0.669,0.331,0.753
0,1,0,0
0.645,0.215,0.14,-0.6908
0,0.345,0.655,0.2263
0,0.707,0.293,0.4404
0.396,0.604,0,-0.7096
0.4,0.6,0,-0.7184
0.145,0.753,0.102,-0.2023
0,0.654,0.346,0.5719
0.246,0.664,0.09,-0.6124
0.117,0.567,0.316,0.5859
0,0.824,0.176,0.5927
0.197,0.636,0.167,-0.121
0,0.837,0.163,0.2846
0,0.602,0.398,0.5106
0,0.256,0.744,0.4404
0,0.777,0.223,0.3182
0,0.786,0.214,0.4588
0.157,0.843,0,-0.4201
0,0.357,0.643,0.2023
0,0.759,0.241,0.5789
0.231,0.769,0,-0.2732
0,0,0,0
0,0.612,0.388,0.2263
0,0.612,0.388,0.2263
0.508,0.492,0,-0.7351
0,0,1,0.5719
0.145,0.791,0.064,-0.2144
0.284,0.716,0,-0.631
0,0.761,0.239,0.5256
0.461,0.539,0,-0.7717
0.277,0.495,0.228,-0.128
0.183,0.533,0.284,0.1779
0.181,0.761,0.058,-0.5025
0.088,0.756,0.155,0.3818
0,0.667,0.333,0.6124
0.293,0.707,0,-0.4404
0,0,0,0
0.072,0.58,0.348,0.7677
0,0.649,0.351,0.7964
0.156,0.844,0,-0.34
0,1,0,0
0.26,0.628,0.112,-0.5106
0.381,0.619,0,-0.4728
0.19,0.553,0.257,0.3796
0.047,0.694,0.259,0.6997
0.145,0.498,0.357,0.7964
0.211,0.789,0,-0.34
0,0.526,0.474,0.2023
1,0,0,-0.4215
0.4,0.6,0,-0.6532
0,0,0,0
0,0,0,0
0.306,0.694,0,-0.5267
0,1,0,0
0,1,0,0
0,0.435,0.565,0.6369
0,0.421,0.579,0.8051
0,0.685,0.315,0.3182
0,1,0,0
0,1,0,0
0,0.838,0.162,0.4404
0,0.408,0.592,0.4404
0,0.597,0.403,0.4019
0.383,0.617,0,-0.4767
0,0.508,0.492,0.4404
0,0.755,0.245,0.3804
0,0.465,0.535,0.3182
0.2,0.8,0,-0.25
0.211,0.789,0,-0.4939
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0.734,0.266,0.4404
0,0.514,0.486,0.8176
0,0.5,0.5,0.4588
0,0.707,0.293,0.4404
0,0.773,0.227,0.6478
0,1,0,0
0,1,0,0
0.848,0.152,0,-0.6808
0.176,0.634,0.19,0.0516
0,1,0,0
0.118,0.531,0.351,0.6908
0,1,0,0
0,0.462,0.538,0.5423
0,0.839,0.161,0.3612
0,1,0,0
