('neg', 0.0):('neu', 0.73):('pos', 0.27):('compound', 0.3804)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.167):('neu', 0.833):('pos', 0.0):('compound', -0.4215)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.286):('neu', 0.714):('pos', 0.0):('compound', -0.34)
('neg', 0.179):('neu', 0.447):('pos', 0.374):('compound', 0.2911)
('neg', 0.0):('neu', 0.776):('pos', 0.224):('compound', 0.3804)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.14):('neu', 0.67):('pos', 0.19):('compound', -0.0258)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.319):('neu', 0.681):('pos', 0.0):('compound', -0.4976)
('neg', 0.088):('neu', 0.704):('pos', 0.208):('compound', 0.4075)
('neg', 0.256):('neu', 0.625):('pos', 0.119):('compound', -0.34)
('neg', 0.138):('neu', 0.718):('pos', 0.144):('compound', -0.2263)
('neg', 0.0):('neu', 0.705):('pos', 0.295):('compound', 0.5574)
('neg', 0.097):('neu', 0.79):('pos', 0.114):('compound', 0.101)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.872):('pos', 0.128):('compound', 0.3919)
('neg', 0.0):('neu', 0.808):('pos', 0.192):('compound', 0.4754)
('neg', 0.0):('neu', 0.685):('pos', 0.315):('compound', 0.3182)
('neg', 0.225):('neu', 0.775):('pos', 0.0):('compound', -0.4939)
('neg', 0.158):('neu', 0.774):('pos', 0.068):('compound', -0.4215)
('neg', 0.0):('neu', 0.685):('pos', 0.315):('compound', 0.3182)
